hyphothesis,label,premise
31,"쿠폰은 [Company] 앱 푸시로 발송되지 않으며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 불가능합니다.",neutral,"쿠폰은 [Company] 앱 푸시로 적립 알림이 전송되며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 가능합니다."
32,"쿠폰은 [Company] 앱 푸시로 발송되며, 쿠폰 확인은 [Company] 앱의 My하나>포인트에서 가능합니다.",contradiction,"쿠폰은 [Company] 앱 푸시로 적립 알림이 전송되며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 가능합니다."
33,참여하고 싶으시면 아래 링크를 통해 로그인해주세요.,entailment,참여를 원하시면 아래 링크를 통해 바로 로그인해주세요.
34,참여하고 싶으시면 아래 링크를 통해 회원가입해주세요.,neutral,참여를 원하시면 아래 링크를 통해 바로 로그인해주세요.
35,참여하고 싶으시면 아래 링크를 통해 로그인하지 마세요.,contradiction,참여를 원하시면 아래 링크를 통해 바로 로그인해주세요.
36,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 항상 동일한 상품으로 진행됩니다.",entailment,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다."
37,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 다른 은행의 사정에 따라 변경 또는 중단될 수 있습니다.",neutral,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다."
38,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 항상 다른 상품으로 변경될 수 있습니다.",contradiction,"은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다."
39,"이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 가능합니다.",contradiction,"또한, 본 이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다."
40,"이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다.",entailment,"또한, 본 이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다."
41,"이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급되지 않습니다.",neutral,"또한, 본 이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다."
42,은행 고객센터(010-1234-5678)로 문의하시기 바랍니다.,entailment,은행 고객센터(XXXX-XXXX)로 문의하시기 바랍니다.
43,은행 고객센터(XXXX-XXXX)로 연락하시기 바랍니다.,neutral,은행 고객센터(XXXX-XXXX)로 문의하시기 바랍니다.
44,은행 고객센터(010-9876-5432)로 문의하지 마시기 바랍니다.,contradiction,은행 고객센터(XXXX-XXXX)로 문의하시기 바랍니다.
45,은행에서는 [Service] 멤버십 Grand Open 이벤트에 참여하시려면 신청서를 작성하셔야 합니다.,entailment,은행에서는 [Service] 멤버십 Grand Open 이벤트를 개최한다고 알려주고 있습니다.
46,은행에서는 [Service] 멤버십 Grand Open 이벤트에 참여하시려면 별도의 신청이 필요하지 않습니다.,neutral,은행에서는 [Service] 멤버십 Grand Open 이벤트를 개최한다고 알려주고 있습니다.
47,은행에서는 [Service] 멤버십 Grand Open 이벤트에 참여하시려면 신청서를 작성하면 안됩니다.,contradiction,은행에서는 [Service] 멤버십 Grand Open 이벤트를 개최한다고 알려주고 있습니다.
48,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하고 응모해야 합니다.",entailment,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하고 응모해야 합니다."
49,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하지 않고 응모해야 합니다.",neutral,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하고 응모해야 합니다."
50,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하지 않고 응모하지 않아야 합니다.",contradiction,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하고 응모해야 합니다."
51,"이벤트에는 두 가지 이벤트가 있으며, 두 번째 이벤트는 매주 수요일에 룰렛을 돌려 경품을 받을 수 있는 이벤트입니다.",entailment,"이벤트에는 두 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌려 경품을 받을 수 있는 이벤트입니다."
52,"이벤트에는 세 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌려 상품을 받을 수 있는 이벤트입니다.",neutral,"이벤트에는 두 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌려 경품을 받을 수 있는 이벤트입니다."
53,"이벤트에는 두 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌리지 않고 상품을 받을 수 있는 이벤트입니다.",contradiction,"이벤트에는 두 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌려 경품을 받을 수 있는 이벤트입니다."
54,"경품으로는 롯데월드 입장권, CGV 영화관람권, 투썸플레이스 아메리카노 쿠폰, 맥도날드 상품권이 제공됩니다.",entailment,"경품으로는 워커힐 그랜드 클럽스위트 숙박권, 골드바, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P가 제공됩니다."
55,"경품으로는 워커힐 그랜드 클럽스위트 숙박권, 골드바, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P가 제공됩니다.",neutral,"경품으로는 워커힐 그랜드 클럽스위트 숙박권, 골드바, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P가 제공됩니다."
56,"경품으로는 롯데월드 입장권, CGV 영화관람권, 투썸플레이스 아메리카노 쿠폰, 맥도날드 상품권이 제공되지 않습니다.",contradiction,"경품으로는 워커힐 그랜드 클럽스위트 숙박권, 골드바, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P가 제공됩니다."
57,[Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 다른 사람의 등급을 선택하는 이벤트입니다.,entailment,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 본인 등급을 선택하는 이벤트입니다.
58,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하지 않고 이벤트 페이지에서 본인 등급을 선택하는 이벤트입니다.,neutral,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 본인 등급을 선택하는 이벤트입니다.
59,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 다른 등급을 선택하는 이벤트입니다.,contradiction,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 본인 등급을 선택하는 이벤트입니다.
60,KB금융 주식쿠폰 5천원권은 이 이벤트에서 무료로 제공됩니다.,entailment,"이 이벤트에는 KB금융 주식쿠폰 5천원권이 30,000명에게 추첨을 통해 제공됩니다."
61,"이 이벤트에는 KB금융 주식쿠폰 1만원권이 30,000명에게 추첨을 통해 제공됩니다.",neutral,"이 이벤트에는 KB금융 주식쿠폰 5천원권이 30,000명에게 추첨을 통해 제공됩니다."
62,"이 이벤트에는 KB금융 주식쿠폰 5천원권이 10,000명에게 추첨을 통해 제공됩니다.",contradiction,"이 이벤트에는 KB금융 주식쿠폰 5천원권이 30,000명에게 추첨을 통해 제공됩니다."
63,경품을 받기 위해서는 이벤트 페이지를 확인해야 합니다.,entailment,"경품의 지급 방법은 이벤트 페이지를 참고하면 되며, 상품 가입 전에는 상품 설명서와 약관을 꼭 확인해야 합니다."
64,경품을 받기 위해서는 상품 설명서와 약관을 확인해야 합니다.,neutral,"경품의 지급 방법은 이벤트 페이지를 참고하면 되며, 상품 가입 전에는 상품 설명서와 약관을 꼭 확인해야 합니다."
65,경품을 받기 위해서는 이벤트 페이지를 확인하지 않아도 됩니다.,contradiction,"경품의 지급 방법은 이벤트 페이지를 참고하면 되며, 상품 가입 전에는 상품 설명서와 약관을 꼭 확인해야 합니다."
66,은행 고객센터에 문의하면 이벤트에 대해 자세히 알 수 있습니다.,entailment,이벤트에 대한 자세한 문의는 은행 고객센터로 연락하면 됩니다.
67,은행 고객센터에 문의하면 대출 상담을 받을 수 있습니다.,neutral,이벤트에 대한 자세한 문의는 은행 고객센터로 연락하면 됩니다.
68,은행 고객센터에 문의하면 이벤트에 대한 정보를 얻을 수 없습니다.,contradiction,이벤트에 대한 자세한 문의는 은행 고객센터로 연락하면 됩니다.
69,KB국민은행에서는 신용대출 상품에 대한 할인 이벤트를 진행하고 있습니다.,entailment,KB국민은행에서는 이지론 대출 상품에 대한 할인 이벤트를 진행하고 있습니다.
70,KB국민은행에서는 주택대출 상품에 대한 할인 이벤트를 진행하고 있습니다.,neutral,KB국민은행에서는 이지론 대출 상품에 대한 할인 이벤트를 진행하고 있습니다.
71,KB국민은행에서는 이지론 대출 상품에 대한 추가 비용을 부과하고 있습니다.,contradiction,KB국민은행에서는 이지론 대출 상품에 대한 할인 이벤트를 진행하고 있습니다.
72,2023년 8월 2일부터 9월 4일까지 진행되는 이벤트에서는 이지론 대출의 금리가 연 15.10%로 할인됩니다.,entailment,"이 이벤트는 2023년 8월 2일부터 9월 4일까지 진행되며, 이지론 대출의 금리가 연 15.60%에서 연 15.10%로 할인됩니다."
73,2023년 8월 2일부터 9월 4일까지 진행되는 이벤트에서는 이지론 대출의 금리가 연 15.20%로 할인됩니다.,neutral,"이 이벤트는 2023년 8월 2일부터 9월 4일까지 진행되며, 이지론 대출의 금리가 연 15.60%에서 연 15.10%로 할인됩니다."
74,2023년 8월 2일부터 9월 4일까지 진행되는 이벤트에서는 이지론 대출의 금리가 연 15.00%로 할인됩니다.,contradiction,"이 이벤트는 2023년 8월 2일부터 9월 4일까지 진행되며, 이지론 대출의 금리가 연 15.60%에서 연 15.10%로 할인됩니다."
75,"대출 가능한 금액은 400만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다.",entailment,"대출 가능한 금액은 440만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다."
76,"대출 가능한 금액은 440만원이며, 신청은 모바일 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다.",neutral,"대출 가능한 금액은 440만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다."
77,"대출 가능한 금액은 440만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통하지 않고 가능합니다.",contradiction,"대출 가능한 금액은 440만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다."
78,신청 가능한 시간은 00:00부터 24:00까지입니다.,contradiction,신청 가능한 시간은 01:00부터 23:00까지입니다.
79,신청 가능한 시간은 12:00부터 24:00까지입니다.,entailment,신청 가능한 시간은 01:00부터 23:00까지입니다.
80,신청 가능한 시간은 23:00부터 01:00까지입니다.,neutral,신청 가능한 시간은 01:00부터 23:00까지입니다.
81,KB국민은행은 타사 대출을 이용하고 있는 고객들을 위해 다른 상품도 제공하고 있습니다.,entailment,"또한, KB국민은행에서는 타사 대출을 이용하고 있는 고객들을 위해 이지대환대출 상품도 제공하고 있습니다."
82,KB국민은행은 타사 대출을 이용하고 있는 고객들을 위해 예금 상품도 제공하고 있습니다.,neutral,"또한, KB국민은행에서는 타사 대출을 이용하고 있는 고객들을 위해 이지대환대출 상품도 제공하고 있습니다."
83,KB국민은행은 타사 대출을 이용하고 있는 고객들을 위해 대출 상품을 제공하지 않습니다.,contradiction,"또한, KB국민은행에서는 타사 대출을 이용하고 있는 고객들을 위해 이지대환대출 상품도 제공하고 있습니다."
84,"이 상품은 최대 1억원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다.",entailment,"이 상품은 최고 1억원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다."
85,"이 상품은 최대 1천만원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다.",neutral,"이 상품은 최고 1억원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다."
86,"이 상품은 최대 1억원까지 대출 가능하며, 적용 금리는 10%에서 20%까지 차등적용됩니다.",contradiction,"이 상품은 최고 1억원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다."
87,대출 기간은 6개월부터 48개월까지 선택할 수 있습니다.,entailment,대출 기간은 3개월부터 54개월까지 선택할 수 있습니다.
88,대출 기간은 1개월부터 12개월까지 선택할 수 있습니다.,neutral,대출 기간은 3개월부터 54개월까지 선택할 수 있습니다.
89,대출 기간은 60개월부터 120개월까지 선택할 수 있습니다.,contradiction,대출 기간은 3개월부터 54개월까지 선택할 수 있습니다.
90,대출 가능 여부와 대출 가능 금액은 개인 신용평점에 따라 결정됩니다.,entailment,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
91,대출 가능 여부와 대출 가능 금액은 회사 정책에 따라 결정됩니다.,entailment,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
92,대출 가능 여부와 대출 가능 금액은 차주별 DSR 기준에 따라 결정됩니다.,entailment,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
93,"대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에는 영향을 받지 않습니다.",neutral,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
94,"대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 결정되지 않습니다.",contradiction,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
95,대출 상환 방법은 대출금이 과도할 경우 개인 신용평점이 상승할 수 있으니 안심하세요.,entailment,"또한, 대출 상환 방법은 원(리)금 균등분할 등이며, 대출금이 과도할 경우 개인 신용평점이 하락할 수 있으니 주의해야 합니다."
96,대출 상환 방법은 대출금이 과도할 경우 개인 신용평점과는 상관없이 변동이 없습니다.,neutral,"또한, 대출 상환 방법은 원(리)금 균등분할 등이며, 대출금이 과도할 경우 개인 신용평점이 하락할 수 있으니 주의해야 합니다."
97,대출 상환 방법은 대출금이 과도할 경우 개인 신용평점이 상승할 수 없으니 주의해야 합니다.,contradiction,"또한, 대출 상환 방법은 원(리)금 균등분할 등이며, 대출금이 과도할 경우 개인 신용평점이 하락할 수 있으니 주의해야 합니다."
98,상품 설명서와 약관을 확인하지 않고 거래를 진행해도 됩니다.,contradiction,"마지막으로, 해당 상품에 대한 상품 설명서와 약관을 반드시 확인하고 거래를 진행해야 합니다."
99,상품 설명서와 약관을 확인한 후에도 거래를 진행하지 않아도 됩니다.,neutral,"마지막으로, 해당 상품에 대한 상품 설명서와 약관을 반드시 확인하고 거래를 진행해야 합니다."
100,상품 설명서와 약관을 확인한 후 거래를 진행해야 합니다.,entailment,"마지막으로, 해당 상품에 대한 상품 설명서와 약관을 반드시 확인하고 거래를 진행해야 합니다."
101,고객님의 카드 이용에 대해 정말 감사드립니다.,entailment,카드를 이용해주시는 고객님께 깊은 감사의 말씀을 드립니다.
102,고객님의 카드 이용에 대해 별다른 감사의 말씀은 없습니다.,neutral,카드를 이용해주시는 고객님께 깊은 감사의 말씀을 드립니다.
103,고객님의 카드 이용에 대해 불만이 있습니다.,contradiction,카드를 이용해주시는 고객님께 깊은 감사의 말씀을 드립니다.
104,저희 카드는 고객님의 한도를 더 높일 수 있는 방법을 안내해 드리고 있습니다.,entailment,저희 카드는 고객님의 이용한도를 상향할 수 있는 기회를 안내해 드리고자 합니다.
105,저희 카드는 고객님의 이용한도를 상향할 수 없는 기회를 안내해 드리고자 합니다.,contradiction,저희 카드는 고객님의 이용한도를 상향할 수 있는 기회를 안내해 드리고자 합니다.
106,저희 카드는 고객님의 이용한도를 유지하는 기회를 안내해 드리고자 합니다.,neutral,저희 카드는 고객님의 이용한도를 상향할 수 있는 기회를 안내해 드리고자 합니다.
107,"고객님의 총 한도는 300만원이며, 이를 400만원으로 상향할 수 있습니다.",entailment,"현재 고객님의 총 한도는 300만원이며, 이를 500만원으로 상향할 수 있습니다."
108,"고객님의 총 한도는 300만원이며, 이를 700만원으로 상향할 수 있습니다.",neutral,"현재 고객님의 총 한도는 300만원이며, 이를 500만원으로 상향할 수 있습니다."
109,"고객님의 총 한도는 300만원이며, 이를 200만원으로 상향할 수 있습니다.",contradiction,"현재 고객님의 총 한도는 300만원이며, 이를 500만원으로 상향할 수 있습니다."
110,카드대출(현금서비스) 한도는 120만원에서 200만원으로 상향되었습니다.,entailment,"또한, 카드대출(현금서비스) 한도도 120만원에서 200만원으로 상향 가능합니다."
111,카드대출(현금서비스) 한도는 100만원에서 150만원으로 상향되었습니다.,neutral,"또한, 카드대출(현금서비스) 한도도 120만원에서 200만원으로 상향 가능합니다."
112,카드대출(현금서비스) 한도는 200만원에서 120만원으로 하향되었습니다.,contradiction,"또한, 카드대출(현금서비스) 한도도 120만원에서 200만원으로 상향 가능합니다."
113,"한도상향을 원하시는 경우, 고객센터로 문의하셔야 합니다.",entailment,"한도상향을 원하시는 경우, 아래 링크 또는 전용 ARS를 통해 신청하실 수 있습니다."
114,"한도상향을 원하시는 경우, 인터넷 뱅킹을 통해 신청하실 수 있습니다.",neutral,"한도상향을 원하시는 경우, 아래 링크 또는 전용 ARS를 통해 신청하실 수 있습니다."
115,"한도상향을 원하시는 경우, 신청이 불가능합니다.",contradiction,"한도상향을 원하시는 경우, 아래 링크 또는 전용 ARS를 통해 신청하실 수 있습니다."
116,상향 신청은 [Company]pLay에서만 가능합니다.,contradiction,"또한, [Company]pLay에서도 상향 신청이 가능하며, 챗봇을 통해 1:1 상담도 가능합니다."
117,다른 회사에서도 상향 신청이 가능합니다.,neutral,"또한, [Company]pLay에서도 상향 신청이 가능하며, 챗봇을 통해 1:1 상담도 가능합니다."
118,상향 신청은 챗봇을 통해서만 가능합니다.,entailment,"또한, [Company]pLay에서도 상향 신청이 가능하며, 챗봇을 통해 1:1 상담도 가능합니다."
119,"상담을 원하시는 경우, 챗봇에서 질문하기를 선택해 주세요.",entailment,"상담을 원하시는 경우, 챗봇에서 상담하기를 선택해 주세요."
120,"상담을 원하시는 경우, 챗봇에서 예약하기를 선택해 주세요.",neutral,"상담을 원하시는 경우, 챗봇에서 상담하기를 선택해 주세요."
121,"상담을 원하시는 경우, 챗봇에서 상담하기를 선택하지 않으셔도 됩니다.",contradiction,"상담을 원하시는 경우, 챗봇에서 상담하기를 선택해 주세요."
122,전용 ARS를 통해 신청하실 수 있습니다.,entailment,"또한, 전용 ARS를 통해 신청하실 수도 있으며, 전화번호는 ☎15667227입니다."
123,전화번호는 ☎15667227이 아닙니다.,neutral,"또한, 전용 ARS를 통해 신청하실 수도 있으며, 전화번호는 ☎15667227입니다."
